RunIndex,TrialIndex,ScenarioID,Category,SubCategory,IsAttack,TrueLabel,PredictedVerdict,Detection,ExpectedLayer,IdentifiedLayer,VerdictCorrect,LayerCorrect,LatencyMicros,ContradictionDetail
1,27,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,28,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,29,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,30,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,31,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,32,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,33,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,34,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,35,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,36,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,37,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,38,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,39,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,40,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,41,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,42,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,43,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,44,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,45,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,46,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,47,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,48,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,49,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,50,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,true,ATTACK,REJECTED,DETECTED,SOURCE,BUILD,true,false,10,Repository working tree is dirty with uncommitted changes (violates require_clean_state policy)
1,51,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,52,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,53,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,54,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,55,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,56,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,57,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,58,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,59,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,60,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
