SeedType,SeedValue,RunIndex,TotalTrials,AttackRecallPct,PrecisionPct,MeanLatencyMicros,ConsistencyStatus
FIXED_SEED_RUN_1,133742,1,300,100.00,100.00,29.9,DETERMINISTIC_MATCH
FIXED_SEED_RUN_2,133742,2,300,100.00,100.00,19.8,DETERMINISTIC_MATCH
VARIED_SEED_1,99123,3,300,100.00,100.00,23.6,STABLE
VARIED_SEED_2,44821,4,300,100.00,100.00,25.3,STABLE
VARIED_SEED_3,77319,5,300,100.00,100.00,18.3,STABLE
VARIED_SEED_4,12048,6,300,100.00,100.00,25.6,STABLE
VARIED_SEED_5,88392,7,300,100.00,100.00,25.6,STABLE
