SeedType,SeedValue,RunIndex,TotalTrials,AttackRecallPct,PrecisionPct,MeanLatencyMicros,ConsistencyStatus
FIXED_SEED_RUN_1,133742,1,300,100.00,100.00,30.8,DETERMINISTIC_MATCH
FIXED_SEED_RUN_2,133742,2,300,100.00,100.00,32.5,DETERMINISTIC_MATCH
VARIED_SEED_1,99123,3,300,100.00,100.00,29.6,STABLE
VARIED_SEED_2,44821,4,300,100.00,100.00,23.2,STABLE
VARIED_SEED_3,77319,5,300,100.00,100.00,26.6,STABLE
VARIED_SEED_4,12048,6,300,100.00,100.00,30.6,STABLE
VARIED_SEED_5,88392,7,300,100.00,100.00,13.3,STABLE
